2 0.341869398207426 -6 7 1.38351210008057 4
5 0.0636406919536582 -8 8 1.61802741370848 4
10 0.108142493638677 -11 10 2.28394997196509 7
20 0.201388888888889 -15 20 3.91627126671781 11
30 0.217960710944808 -23 27 6.18717224035247 19
60 0.583941605839416 -37 66 15.1960460246305 33.53
