1273 21 1274 6 2
1286 21 1286 6 4
1298 21 1298 6 6
1311 21 1310 6 8
1324 21 1323 6 10
1336 21 1334 6 12
1348 21 1348 6 14
1362 21 1359 6 16
1372 21 1372 6 18
3278 21 3277 6 2
3290 21 3289 6 4
3304 21 3302 6 6
3317 21 3314 6 8
3331 21 3327 6 10
3344 22 3340 6 12
3356 21 3352 6 14
3370 21 3365 6 16
3384 21 3378 6 18
5280 21 5281 6 2
5293 21 5293 6 4
5307 21 5306 6 6
5320 21 5319 6 8
5333 21 5331 6 10
5346 21 5343 6 12
5360 21 5356 6 14
5370 21 5369 6 16
5382 21 5382 6 18
7284 21 7283 6 2
7297 21 7296 6 4
7309 21 7309 6 6
7321 21 7322 6 8
7336 21 7334 6 10
7350 21 7347 6 12
7362 21 7361 6 14
7375 21 7373 6 16
7388 21 7386 6 18
9287 21 9287 6 2
9300 21 9299 6 4
9313 21 9312 6 6
9326 21 9324 6 8
9339 21 9338 6 10
9356 21 9350 6 12
9368 21 9363 6 14
9381 21 9376 6 16
9391 21 9389 6 18
14289 21 14290 6 2
14302 22 14303 6 4
14316 21 14315 6 6
14330 21 14328 6 8
14340 21 14341 6 10
14353 22 14354 6 12
14367 21 14367 6 14
14382 21 14379 6 16
14395 21 14392 6 18
19292 21 19292 6 2
19304 21 19305 6 4
19318 21 19318 6 6
19330 21 19331 6 8
19344 21 19343 6 10
19358 21 19356 6 12
19370 21 19369 6 14
19382 21 19382 6 16
19395 21 19395 6 18
24295 21 24296 6 2
24308 21 24308 6 4
24321 21 24321 6 6
24333 21 24334 6 8
24348 21 24346 6 10
24360 21 24359 6 12
24375 21 24372 6 14
24387 21 24385 6 16
24399 21 24397 6 18
29299 21 29298 6 2
29313 21 29311 6 4
29326 21 29323 6 6
29339 21 29336 6 8
29353 21 29349 6 10
29365 21 29362 6 12
29375 21 29373 6 14
29394 21 29387 6 16
29408 21 29399 6 18
34301 21 34302 6 2
34314 21 34314 6 4
34327 21 34327 6 6
34340 21 34340 6 8
34353 21 34354 6 10
34367 21 34365 6 12
34378 21 34380 6 14
34393 21 34391 6 16
34406 21 34404 6 18
39305 21 39304 6 2
39317 21 39316 6 4
39329 21 39329 6 6
39343 21 39342 6 8
39355 21 39354 6 10
39367 21 39367 6 12
39380 21 39380 6 14
